,city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1613,1,108,4,3,2,4.0,acept,not furnished,1134.0,6500.0,609.0,83.0,8326.0
1615,1,37,1,1,0,16.0,not acept,not furnished,315.0,1519.0,30.0,20.0,1884.0
1616,1,30,1,1,1,10.0,not acept,furnished,540.0,3237.0,350.0,42.0,4169.0
1617,1,246,3,4,4,9.0,acept,furnished,3350.0,10000.0,1480.0,127.0,14960.0
1618,1,234,3,5,3,17.0,not acept,furnished,2750.0,14000.0,1334.0,178.0,18260.0
1619,1,73,2,2,1,6.0,acept,furnished,1072.0,5000.0,196.0,64.0,6332.0
1620,1,113,3,2,2,8.0,acept,not furnished,1750.0,2975.0,359.0,38.0,5122.0
1621,0,110,3,3,2,0.0,acept,not furnished,560.0,3200.0,1056.0,49.0,4865.0
1625,1,28,1,1,1,13.0,not acept,furnished,615.0,2800.0,42.0,36.0,3493.0
1628,1,88,3,2,2,11.0,acept,furnished,1350.0,5870.0,108.0,75.0,7403.0
1629,1,40,1,1,1,3.0,acept,not furnished,400.0,1500.0,59.0,20.0,1979.0
1630,1,150,3,2,2,16.0,acept,not furnished,1700.0,5000.0,484.0,64.0,7248.0
1631,1,187,3,2,3,0.0,acept,not furnished,500.0,3500.0,193.0,53.0,4246.0
1632,1,51,1,1,1,13.0,acept,not furnished,513.0,2700.0,84.0,35.0,3332.0
1633,1,62,2,2,1,1.0,not acept,furnished,684.0,5050.0,227.0,64.0,6025.0
1635,1,48,1,1,1,21.0,not acept,furnished,1137.0,6698.0,166.0,85.0,8086.0
1638,1,74,2,1,2,9.0,acept,furnished,1100.0,6600.0,424.0,84.0,8208.0
1639,1,53,1,1,0,2.0,not acept,not furnished,170.0,1680.0,68.0,22.0,1940.0
1644,1,145,4,3,2,1.0,acept,not furnished,1644.0,4800.0,500.0,61.0,7005.0
1645,1,230,3,3,3,11.0,acept,not furnished,1900.0,4080.0,417.0,52.0,6449.0
1647,1,34,1,1,0,10.0,acept,not furnished,200.0,1610.0,25.0,21.0,1856.0
1650,1,64,2,1,2,10.0,not acept,furnished,2530.0,4000.0,342.0,51.0,6923.0
1653,1,68,1,1,1,12.0,acept,furnished,4240.0,6000.0,584.0,77.0,10900.0
1654,1,134,3,3,3,8.0,acept,not furnished,1680.0,2125.0,375.0,27.0,4207.0
1656,1,48,1,1,2,7.0,acept,furnished,2300.0,7000.0,245.0,89.0,9634.0
1659,1,260,3,4,3,3.0,acept,not furnished,3400.0,1040.0,1250.0,14.0,5704.0
1660,1,250,3,4,0,6.0,acept,not furnished,3500.0,5000.0,1334.0,64.0,9898.0
1662,1,62,2,2,0,6.0,not acept,not furnished,645.0,1400.0,92.0,18.0,2155.0
1664,1,195,4,3,4,7.0,acept,not furnished,1808.0,2700.0,1067.0,35.0,5610.0
1665,1,57,2,2,1,22.0,not acept,furnished,480.0,4500.0,140.0,58.0,5178.0
1667,1,70,2,1,1,14.0,acept,not furnished,576.0,2400.0,162.0,31.0,3169.0
1668,1,105,3,2,3,1.0,acept,not furnished,1250.0,1900.0,552.0,25.0,3727.0
1669,0,200,4,3,2,1.0,acept,not furnished,1150.0,3400.0,209.0,44.0,4803.0
1672,1,94,1,2,2,2.0,not acept,furnished,1356.0,13000.0,384.0,165.0,14910.0
1673,1,130,3,4,2,11.0,not acept,not furnished,1550.0,2318.0,411.0,30.0,4309.0
1677,1,240,3,3,3,11.0,acept,furnished,3000.0,10000.0,1200.0,127.0,14330.0
1678,1,100,3,3,3,1.0,acept,not furnished,1000.0,3300.0,417.0,42.0,4759.0
1680,1,300,4,4,4,19.0,acept,furnished,2800.0,9000.0,1667.0,115.0,13580.0
1683,1,90,3,3,2,1.0,acept,not furnished,1171.0,1997.0,280.0,26.0,3474.0
1684,1,39,2,1,0,3.0,acept,not furnished,120.0,1450.0,43.0,19.0,1632.0
1687,1,209,3,3,0,4.0,acept,not furnished,2200.0,4000.0,803.0,51.0,7054.0
1688,1,170,3,3,2,6.0,acept,not furnished,2377.0,9500.0,828.0,121.0,12830.0
1689,1,250,4,5,4,6.0,acept,not furnished,2050.0,9800.0,998.0,125.0,12970.0
1690,1,262,4,5,4,17.0,acept,not furnished,2500.0,2250.0,1350.0,29.0,6129.0
1694,1,244,3,3,3,4.0,acept,not furnished,5000.0,8900.0,1679.0,113.0,15690.0
1695,1,270,5,4,4,6.0,not acept,not furnished,3500.0,7000.0,1684.0,89.0,12270.0
1697,1,20,1,1,0,3.0,not acept,furnished,340.0,2400.0,59.0,31.0,2830.0
1698,1,70,2,2,0,1.0,not acept,not furnished,720.0,3750.0,25.0,48.0,4543.0
1700,0,104,2,2,1,2.0,acept,not furnished,580.0,1700.0,122.0,22.0,2424.0
1702,1,235,3,3,3,11.0,not acept,not furnished,1367.0,6500.0,579.0,83.0,8529.0
1706,1,82,1,1,2,1.0,acept,not furnished,1650.0,8000.0,267.0,102.0,10020.0
1707,1,380,3,2,3,5.0,acept,not furnished,3200.0,15000.0,917.0,191.0,19310.0
1708,1,380,4,4,3,1.0,acept,not furnished,2300.0,8000.0,2180.0,102.0,12580.0
1709,1,54,2,2,1,16.0,acept,not furnished,665.0,2200.0,117.0,28.0,3010.0
1710,1,67,2,2,1,1.0,not acept,furnished,580.0,3500.0,60.0,45.0,4185.0
1712,1,117,4,5,4,10.0,not acept,not furnished,1523.0,3175.0,711.0,41.0,5450.0
1714,1,305,2,3,0,10.0,acept,not furnished,3500.0,5000.0,667.0,64.0,9231.0
1715,1,53,2,2,2,5.0,acept,not furnished,757.0,2495.0,166.0,11.0,3429.0
1718,1,250,4,2,3,2.0,not acept,furnished,3000.0,15000.0,100.0,191.0,18290.0
1719,1,164,3,2,1,15.0,acept,furnished,1229.0,3700.0,198.0,47.0,5174.0
1721,0,115,3,3,1,5.0,acept,not furnished,1035.0,1900.0,30.0,25.0,2990.0
1722,1,206,3,3,1,11.0,acept,furnished,2914.0,7400.0,586.0,94.0,10990.0
1724,0,49,2,1,1,1.0,acept,not furnished,263.0,1000.0,38.0,13.0,1314.0
1725,1,30,1,1,0,5.0,acept,not furnished,330.0,1210.0,21.0,16.0,1577.0
1731,0,400,4,4,3,0.0,acept,not furnished,1200.0,8700.0,458.0,131.0,10490.0
1734,1,260,4,4,2,5.0,acept,furnished,2570.0,4400.0,584.0,56.0,7610.0
1735,1,74,2,3,2,24.0,acept,not furnished,450.0,3200.0,40.0,41.0,3731.0
1736,1,59,2,2,0,5.0,not acept,not furnished,754.0,2040.0,25.0,26.0,2845.0
1737,1,51,2,1,1,4.0,acept,not furnished,455.0,2500.0,23.0,32.0,3010.0
1741,0,65,2,1,1,1.0,acept,furnished,459.0,1850.0,49.0,24.0,2382.0
1742,1,110,2,3,2,2.0,acept,not furnished,1276.0,6500.0,517.0,83.0,8376.0
1745,1,65,3,1,0,13.0,not acept,not furnished,510.0,1880.0,30.0,24.0,2444.0
1746,1,83,2,1,1,6.0,not acept,not furnished,550.0,1600.0,125.0,21.0,2296.0
1747,1,100,3,2,0,3.0,not acept,not furnished,800.0,2000.0,250.0,26.0,3076.0
1748,1,90,2,2,1,3.0,acept,not furnished,1000.0,3000.0,50.0,39.0,4089.0
1750,1,135,3,2,2,3.0,acept,not furnished,1650.0,2300.0,775.0,30.0,4755.0
1753,1,34,2,1,0,10.0,acept,not furnished,300.0,2200.0,15.0,28.0,2543.0
1755,1,45,1,1,1,18.0,not acept,furnished,2200.0,4500.0,334.0,58.0,7092.0
1756,1,120,3,2,1,1.0,not acept,not furnished,870.0,2500.0,160.0,32.0,3562.0
1757,0,45,1,1,1,4.0,not acept,not furnished,417.0,850.0,140.0,11.0,1418.0
1761,1,20,1,1,0,6.0,acept,furnished,602.0,1800.0,130.0,23.0,2555.0
1762,1,163,3,3,3,8.0,acept,furnished,1532.0,2550.0,417.0,33.0,4532.0
1764,1,45,1,1,1,7.0,acept,not furnished,695.0,1700.0,170.0,22.0,2587.0
1767,1,36,1,1,1,8.0,acept,furnished,600.0,3400.0,80.0,44.0,4124.0
1768,1,20,1,1,0,3.0,acept,furnished,602.0,1800.0,130.0,23.0,2555.0
1770,1,35,1,1,0,9.0,acept,furnished,450.0,1300.0,40.0,17.0,1807.0
1774,1,62,3,1,1,7.0,not acept,not furnished,400.0,1600.0,25.0,21.0,2046.0
1776,1,78,3,2,2,10.0,acept,not furnished,650.0,2400.0,117.0,31.0,3198.0
1777,1,39,1,1,1,24.0,not acept,furnished,600.0,4200.0,125.0,54.0,4979.0
1778,0,90,3,3,2,4.0,acept,not furnished,740.0,1350.0,78.0,18.0,2186.0
1779,1,121,2,3,1,20.0,acept,not furnished,825.0,2560.0,170.0,33.0,3588.0
1780,1,97,3,3,2,7.0,acept,not furnished,1058.0,2500.0,275.0,32.0,3865.0
1783,1,93,2,2,2,2.0,acept,furnished,1166.0,5500.0,325.0,70.0,7061.0
1784,1,70,2,2,0,1.0,acept,not furnished,280.0,1000.0,138.0,13.0,1431.0
1786,1,64,1,2,1,3.0,acept,not furnished,763.0,2603.0,101.0,16.0,3483.0
1789,1,110,3,2,1,1.0,acept,not furnished,1000.0,5500.0,25.0,70.0,6595.0
1790,1,80,1,2,1,10.0,acept,furnished,1000.0,4000.0,109.0,51.0,5160.0
1792,1,180,4,3,2,5.0,acept,not furnished,2650.0,5500.0,667.0,70.0,8887.0
1793,1,20,1,1,0,2.0,not acept,furnished,150.0,3142.0,67.0,40.0,3399.0
1795,1,54,1,1,1,13.0,not acept,not furnished,1484.0,4130.0,250.0,53.0,5917.0
1798,1,141,3,2,2,11.0,acept,not furnished,2200.0,6900.0,450.0,88.0,9638.0
1800,1,58,1,2,1,14.0,acept,furnished,920.0,5800.0,200.0,74.0,6994.0
1801,1,160,3,2,2,2.0,acept,not furnished,1700.0,3599.0,490.0,46.0,5835.0
1805,1,138,2,3,2,9.0,acept,furnished,2082.0,2180.0,606.0,28.0,4896.0
1806,1,55,1,1,1,11.0,not acept,not furnished,696.0,2200.0,148.0,28.0,3072.0
1811,1,23,1,1,0,23.0,acept,not furnished,392.0,2100.0,41.0,27.0,2560.0
1814,1,58,2,2,1,12.0,not acept,furnished,928.0,4000.0,256.0,51.0,5235.0
1816,1,70,2,1,1,7.0,acept,furnished,2065.0,3300.0,211.0,42.0,5618.0
1818,1,218,3,4,2,6.0,not acept,not furnished,1800.0,7800.0,334.0,99.0,10030.0
1819,0,190,4,4,2,14.0,acept,not furnished,900.0,3200.0,192.0,15.0,4307.0
1820,0,64,1,2,1,11.0,not acept,not furnished,930.0,1540.0,68.0,20.0,2558.0
1823,0,284,4,3,4,0.0,acept,furnished,1500.0,6000.0,405.0,91.0,7996.0
1824,1,108,3,2,2,2.0,acept,not furnished,980.0,2200.0,195.0,28.0,3403.0
1826,1,217,2,3,3,5.0,acept,furnished,2500.0,6000.0,1000.0,77.0,9577.0
1827,1,190,3,3,2,10.0,not acept,not furnished,2800.0,9000.0,888.0,115.0,12800.0
1831,1,110,2,1,1,2.0,acept,not furnished,1200.0,3000.0,137.0,39.0,4376.0
1832,1,139,4,5,2,6.0,not acept,not furnished,1500.0,10000.0,584.0,127.0,12210.0
1835,1,150,3,4,2,0.0,acept,not furnished,125.0,2750.0,159.0,42.0,3076.0
1836,1,131,4,4,3,1.0,not acept,furnished,2100.0,6000.0,798.0,77.0,8975.0
1839,1,144,3,4,3,4.0,acept,furnished,856.0,7200.0,589.0,92.0,8737.0
1840,1,85,2,1,0,4.0,acept,not furnished,510.0,1617.0,67.0,21.0,2215.0
1841,1,76,2,2,1,2.0,acept,not furnished,900.0,3410.0,272.0,44.0,4626.0
1843,0,100,2,1,0,16.0,acept,not furnished,550.0,900.0,61.0,12.0,1523.0
1846,1,273,3,3,1,5.0,acept,not furnished,1880.0,5000.0,778.0,64.0,7722.0
1847,1,107,3,2,1,12.0,not acept,not furnished,1040.0,5800.0,386.0,74.0,7300.0
1848,1,34,2,1,0,10.0,acept,not furnished,300.0,2200.0,15.0,28.0,2543.0
1852,1,45,2,1,1,24.0,acept,not furnished,545.0,1850.0,104.0,24.0,2523.0
1854,1,200,3,4,3,18.0,acept,furnished,2350.0,6200.0,1084.0,79.0,9713.0
1855,0,70,2,1,1,15.0,not acept,furnished,350.0,2250.0,78.0,29.0,2707.0
1856,1,77,2,2,1,5.0,acept,not furnished,998.0,1950.0,213.0,25.0,3186.0
1857,1,270,4,4,4,11.0,acept,furnished,2800.0,15000.0,100.0,191.0,18090.0
1858,1,339,4,5,4,13.0,acept,furnished,2800.0,15000.0,1440.0,191.0,19430.0
1861,1,68,2,2,1,19.0,not acept,furnished,710.0,6700.0,225.0,85.0,7720.0
1863,1,45,1,1,1,14.0,not acept,furnished,2200.0,2300.0,167.0,30.0,4697.0
1864,1,189,4,3,3,3.0,acept,not furnished,3434.0,4500.0,1334.0,58.0,9326.0
1871,1,22,1,1,1,25.0,acept,not furnished,471.0,2200.0,55.0,28.0,2754.0
1872,1,180,3,3,2,4.0,acept,not furnished,2100.0,8000.0,413.0,102.0,10620.0
1876,1,52,1,1,1,1.0,acept,furnished,410.0,4667.0,64.0,60.0,5201.0
1878,0,165,3,2,1,1.0,acept,not furnished,1100.0,1800.0,294.0,23.0,3217.0
1879,1,71,2,2,1,4.0,acept,not furnished,730.0,1250.0,35.0,16.0,2031.0
1881,0,260,3,5,5,0.0,acept,not furnished,1700.0,7600.0,584.0,115.0,9999.0
1883,1,200,3,2,3,14.0,acept,furnished,3000.0,8000.0,667.0,102.0,11770.0
1884,1,204,3,2,2,2.0,acept,not furnished,3550.0,7000.0,764.0,89.0,11400.0
1885,1,96,3,1,2,1.0,acept,not furnished,600.0,1847.0,15.0,24.0,2486.0
1886,1,136,3,4,3,4.0,not acept,not furnished,1546.0,3500.0,350.0,45.0,5441.0
1888,0,98,1,1,1,5.0,acept,not furnished,730.0,2800.0,152.0,36.0,3718.0
1889,1,150,3,3,3,0.0,acept,not furnished,100.0,4600.0,234.0,70.0,5004.0
1892,1,136,3,2,2,13.0,acept,furnished,1259.0,15000.0,374.0,191.0,16820.0
1894,1,110,3,3,1,9.0,not acept,not furnished,1000.0,3000.0,84.0,39.0,4123.0
1898,1,53,2,2,1,10.0,not acept,furnished,579.0,3000.0,89.0,39.0,3707.0
1899,0,58,1,2,2,2.0,acept,not furnished,630.0,1450.0,67.0,19.0,2166.0
1900,1,162,2,2,3,6.0,acept,furnished,1500.0,15000.0,609.0,191.0,17300.0
1901,1,50,1,1,1,20.0,not acept,furnished,781.0,5300.0,212.0,68.0,6361.0
1903,1,93,3,4,2,6.0,acept,furnished,1000.0,2800.0,257.0,36.0,4093.0
1904,1,93,1,3,1,4.0,not acept,not furnished,1040.0,3500.0,33.0,45.0,4618.0
1905,1,20,1,1,0,6.0,acept,furnished,602.0,1800.0,130.0,23.0,2555.0
1907,1,182,3,5,3,10.0,acept,not furnished,3600.0,4900.0,875.0,63.0,9438.0
1910,1,197,3,4,1,10.0,acept,not furnished,2665.0,4500.0,459.0,58.0,7682.0
1911,1,114,4,4,2,6.0,acept,not furnished,1115.0,2790.0,321.0,36.0,4262.0
1912,1,70,2,1,0,1.0,acept,not furnished,300.0,1300.0,53.0,17.0,1670.0
1916,1,106,3,2,1,14.0,acept,furnished,1030.0,10000.0,145.0,127.0,11300.0
1917,1,250,3,4,2,1.0,not acept,not furnished,2400.0,7000.0,42.0,89.0,9531.0
1918,1,168,3,2,4,0.0,not acept,not furnished,600.0,3500.0,317.0,53.0,4470.0
1921,1,23,1,1,1,12.0,acept,furnished,600.0,2800.0,99.0,36.0,3535.0
1922,1,290,4,4,2,6.0,acept,furnished,3200.0,7800.0,584.0,99.0,11680.0
1923,1,160,4,3,0,1.0,acept,furnished,1172.0,2300.0,59.0,30.0,3561.0
1926,1,107,3,3,2,3.0,acept,not furnished,1600.0,4500.0,417.0,58.0,6575.0
1930,1,71,2,3,2,13.0,not acept,not furnished,500.0,3700.0,50.0,47.0,4297.0
1931,1,130,4,3,2,13.0,acept,not furnished,1180.0,2500.0,334.0,32.0,4046.0
1937,1,228,3,4,3,6.0,acept,furnished,3500.0,14000.0,1000.0,178.0,18680.0
1938,1,395,4,4,3,16.0,acept,furnished,2137.0,15000.0,834.0,191.0,18160.0
1939,1,227,4,4,3,6.0,acept,not furnished,4000.0,9000.0,1417.0,115.0,14530.0
1941,0,297,4,6,2,3.0,acept,not furnished,2800.0,2800.0,433.0,36.0,6069.0
1942,1,145,3,3,1,1.0,acept,not furnished,1225.0,5800.0,375.0,74.0,7474.0
1944,0,269,4,5,0,12.0,acept,not furnished,3000.0,5100.0,963.0,65.0,9128.0
1945,1,270,3,3,3,16.0,acept,not furnished,2800.0,13000.0,959.0,165.0,16920.0
1947,1,200,2,5,2,2.0,not acept,furnished,2448.0,15000.0,937.0,191.0,18580.0
1949,1,66,1,1,1,4.0,not acept,not furnished,2077.0,1600.0,349.0,21.0,4047.0
1950,1,290,5,3,3,6.0,acept,not furnished,3800.0,4100.0,1435.0,52.0,9387.0
1952,1,98,2,2,0,5.0,not acept,furnished,890.0,4500.0,34.0,58.0,5482.0
1954,1,80,2,1,1,13.0,not acept,not furnished,937.0,2900.0,84.0,37.0,3958.0
1955,1,160,2,3,2,21.0,not acept,furnished,2200.0,12000.0,605.0,153.0,14960.0
1956,1,118,3,2,2,4.0,acept,not furnished,1520.0,8950.0,402.0,114.0,10990.0
1957,1,230,4,3,2,1.0,acept,not furnished,2300.0,12200.0,542.0,155.0,15200.0
1959,1,147,3,3,3,5.0,acept,furnished,2000.0,12000.0,1000.0,153.0,15150.0
1962,0,57,2,1,1,5.0,acept,furnished,393.0,1850.0,72.0,24.0,2339.0
1963,1,36,1,1,1,15.0,acept,furnished,750.0,3328.0,125.0,14.0,4217.0
1964,1,248,3,4,4,2.0,acept,not furnished,3163.0,14000.0,966.0,178.0,18310.0
1966,0,60,2,1,1,3.0,acept,not furnished,200.0,1299.0,84.0,17.0,1600.0
1971,1,200,4,5,4,16.0,acept,not furnished,2607.0,10000.0,1150.0,127.0,13880.0
1974,1,213,4,4,3,17.0,acept,not furnished,2600.0,6500.0,1157.0,83.0,10340.0
1975,1,190,3,2,1,6.0,acept,not furnished,3040.0,6800.0,56.0,87.0,9983.0
1977,1,126,3,4,1,3.0,acept,not furnished,1980.0,4000.0,309.0,51.0,6340.0
1979,0,66,1,1,1,2.0,acept,furnished,900.0,5000.0,62.0,64.0,6026.0
1981,1,380,4,3,3,11.0,acept,not furnished,3500.0,5800.0,1600.0,74.0,10970.0
1982,1,146,3,3,2,9.0,acept,not furnished,1200.0,2000.0,292.0,26.0,3518.0
1983,0,53,1,1,1,13.0,acept,not furnished,494.0,650.0,34.0,9.0,1187.0
1986,1,123,3,3,2,3.0,not acept,furnished,1527.0,3400.0,334.0,44.0,5305.0
1987,1,30,1,1,0,7.0,not acept,not furnished,545.0,1350.0,39.0,18.0,1952.0
1989,1,200,2,2,1,10.0,acept,furnished,2700.0,9500.0,600.0,121.0,12920.0
1990,1,315,3,4,5,14.0,not acept,furnished,1500.0,15000.0,1000.0,191.0,17690.0
1997,1,79,2,3,2,15.0,acept,not furnished,768.0,3200.0,268.0,41.0,4277.0
1998,1,73,2,2,1,11.0,acept,not furnished,700.0,1250.0,150.0,16.0,2116.0
2002,0,50,2,1,1,3.0,acept,not furnished,613.0,1000.0,20.0,13.0,1646.0
2004,1,55,1,1,1,14.0,not acept,furnished,1000.0,4950.0,225.0,63.0,6238.0
2005,1,100,2,3,1,2.0,acept,furnished,1260.0,3973.0,267.0,51.0,5551.0
2006,1,110,3,2,2,2.0,acept,not furnished,1145.0,2400.0,247.0,31.0,3823.0
2007,0,40,2,1,1,3.0,acept,not furnished,320.0,1200.0,70.0,16.0,1606.0
2008,0,223,3,5,2,2.0,acept,not furnished,1400.0,3300.0,290.0,42.0,5032.0
2009,1,384,4,6,4,3.0,not acept,furnished,3500.0,15000.0,344.0,191.0,19040.0
2010,1,418,2,4,3,17.0,not acept,not furnished,5274.0,6875.0,117.0,88.0,12350.0
2014,1,74,2,2,2,7.0,acept,not furnished,1100.0,3400.0,163.0,44.0,4707.0
2017,1,150,3,2,2,2.0,acept,not furnished,1181.0,2000.0,384.0,26.0,3591.0
2021,1,328,3,4,4,18.0,acept,furnished,1382.0,6000.0,800.0,77.0,8259.0
2022,1,179,4,4,3,8.0,acept,furnished,1100.0,8500.0,751.0,108.0,10460.0
2023,1,62,2,2,2,4.0,acept,not furnished,900.0,2290.0,284.0,30.0,3504.0
2024,1,210,3,4,4,4.0,acept,not furnished,2600.0,15000.0,1334.0,191.0,19130.0
2025,1,75,2,2,0,1.0,not acept,not furnished,750.0,2125.0,146.0,27.0,3048.0
2026,0,76,2,2,2,9.0,acept,furnished,679.0,3100.0,146.0,40.0,3965.0
2027,1,146,3,3,2,3.0,acept,furnished,1600.0,6500.0,417.0,83.0,8600.0
2029,1,165,4,4,4,1.0,acept,not furnished,1400.0,5700.0,834.0,73.0,8007.0
2030,0,96,3,2,2,6.0,acept,furnished,750.0,3600.0,138.0,46.0,4534.0
2035,1,25,1,1,0,4.0,not acept,furnished,290.0,2000.0,130.0,26.0,2446.0
2036,1,140,3,2,0,8.0,acept,furnished,2500.0,1799.0,375.0,23.0,4697.0
2037,0,147,3,2,3,11.0,acept,not furnished,1425.0,1620.0,184.0,21.0,3250.0
2042,1,72,2,2,1,18.0,not acept,furnished,800.0,7500.0,225.0,96.0,8621.0
2044,1,45,1,1,1,8.0,acept,not furnished,694.0,1800.0,172.0,23.0,2689.0
2046,1,152,2,2,1,3.0,acept,furnished,1000.0,15000.0,250.0,191.0,16440.0
2047,1,40,1,1,1,12.0,acept,not furnished,300.0,3470.0,70.0,44.0,3884.0
2048,1,200,3,2,1,8.0,acept,not furnished,1500.0,8000.0,42.0,102.0,9644.0
2049,1,310,3,3,2,16.0,not acept,not furnished,2720.0,15000.0,846.0,191.0,18760.0
2050,1,20,1,1,0,5.0,not acept,furnished,420.0,1700.0,45.0,22.0,2187.0
2052,1,76,1,2,1,4.0,acept,furnished,1180.0,4200.0,30.0,54.0,5464.0
2056,1,100,1,1,2,8.0,acept,furnished,990.0,4200.0,284.0,54.0,5528.0
2057,1,90,3,2,0,9.0,not acept,not furnished,900.0,2100.0,84.0,27.0,3111.0
2059,1,70,2,1,1,7.0,acept,not furnished,780.0,1300.0,121.0,17.0,2218.0
2062,1,270,3,4,2,11.0,acept,not furnished,3158.0,15000.0,1100.0,191.0,19450.0
2064,1,220,3,4,4,2.0,acept,not furnished,3167.0,5500.0,1084.0,70.0,9821.0
2067,0,430,4,3,4,1.0,acept,not furnished,2880.0,9000.0,734.0,115.0,12730.0
2069,1,79,2,2,1,1.0,acept,furnished,600.0,2000.0,75.0,26.0,2701.0
2070,1,341,3,3,2,6.0,acept,not furnished,2600.0,4400.0,825.0,56.0,7881.0
2071,1,60,2,2,1,10.0,acept,furnished,1938.0,3400.0,300.0,44.0,5682.0
2074,1,59,2,2,1,12.0,acept,not furnished,360.0,2200.0,18.0,28.0,2606.0
2077,1,55,1,1,1,11.0,acept,not furnished,1020.0,2166.0,109.0,28.0,3323.0
2078,1,38,1,1,0,3.0,not acept,not furnished,200.0,1685.0,30.0,22.0,1937.0
2082,1,195,4,3,3,7.0,not acept,not furnished,2600.0,10000.0,1336.0,127.0,14060.0
2083,1,82,2,2,1,2.0,acept,not furnished,1500.0,2450.0,192.0,32.0,4174.0
2086,1,139,3,3,3,3.0,acept,not furnished,1260.0,2700.0,417.0,35.0,4412.0
2088,1,289,3,3,2,6.0,not acept,not furnished,2850.0,15000.0,777.0,191.0,18820.0
2090,1,65,2,2,1,9.0,not acept,not furnished,682.0,1039.0,42.0,14.0,1777.0
2091,0,55,2,1,1,1.0,acept,not furnished,270.0,900.0,34.0,12.0,1216.0
2092,1,98,1,2,2,9.0,acept,not furnished,1241.0,4000.0,422.0,51.0,5714.0
2093,1,76,3,2,0,4.0,acept,not furnished,780.0,1600.0,54.0,21.0,2455.0
2094,1,89,3,2,2,19.0,acept,not furnished,900.0,6000.0,184.0,77.0,7161.0
2095,1,155,4,3,2,16.0,acept,not furnished,1050.0,3500.0,459.0,45.0,5054.0
2096,1,137,3,4,2,2.0,acept,not furnished,1300.0,2200.0,334.0,28.0,3862.0
2097,1,88,2,2,2,8.0,acept,furnished,1000.0,4500.0,134.0,58.0,5692.0
2098,0,102,3,3,1,9.0,acept,not furnished,1100.0,1500.0,105.0,20.0,2725.0
2100,1,115,3,2,1,12.0,acept,not furnished,1363.0,3000.0,210.0,39.0,4612.0
2101,1,198,3,4,2,12.0,acept,furnished,2600.0,11500.0,667.0,146.0,14910.0
2102,1,57,2,2,1,8.0,acept,not furnished,358.0,2550.0,132.0,33.0,3073.0
2103,0,185,3,3,2,6.0,acept,not furnished,1200.0,2200.0,100.0,28.0,3528.0
2105,1,86,3,3,0,10.0,acept,furnished,1100.0,3000.0,100.0,39.0,4239.0
2106,1,35,1,1,1,6.0,not acept,furnished,886.0,1250.0,90.0,16.0,2242.0
2107,1,144,3,2,2,8.0,acept,not furnished,1500.0,3600.0,84.0,46.0,5230.0
2108,1,210,3,3,4,1.0,acept,not furnished,3100.0,6500.0,1400.0,83.0,11080.0
2113,0,280,4,3,4,0.0,acept,not furnished,2307.0,3100.0,341.0,47.0,5795.0
2114,1,120,1,2,2,16.0,acept,furnished,1000.0,9000.0,700.0,115.0,10820.0
2115,1,90,3,2,1,5.0,acept,not furnished,1300.0,3780.0,292.0,48.0,5420.0
2117,1,200,2,2,2,11.0,acept,furnished,2900.0,11000.0,560.0,140.0,14600.0
2118,0,290,4,3,1,5.0,acept,not furnished,1350.0,2600.0,192.0,33.0,4175.0
2119,1,200,5,6,4,6.0,acept,not furnished,3300.0,5000.0,1250.0,64.0,9614.0
2121,1,220,3,3,2,11.0,acept,not furnished,4500.0,9000.0,584.0,115.0,14200.0
2122,1,270,3,4,3,10.0,acept,not furnished,3809.0,9500.0,1792.0,121.0,15220.0
2123,1,280,4,4,2,5.0,acept,not furnished,4200.0,4000.0,1042.0,51.0,9293.0
2124,1,200,3,4,3,1.0,acept,not furnished,3500.0,8500.0,1250.0,108.0,13360.0
2126,0,47,1,1,1,18.0,acept,furnished,582.0,2700.0,135.0,35.0,3452.0
2127,1,250,3,3,2,7.0,acept,furnished,2750.0,5500.0,792.0,70.0,9112.0
2128,1,400,4,5,4,8.0,acept,furnished,3884.0,8700.0,1671.0,111.0,14370.0
2129,1,220,3,4,2,7.0,acept,not furnished,2000.0,3900.0,750.0,50.0,6700.0
2132,1,33,1,1,1,5.0,not acept,furnished,1750.0,1000.0,100.0,13.0,2863.0
2134,0,97,1,1,0,12.0,acept,not furnished,468.0,750.0,61.0,10.0,1289.0
2137,1,280,4,3,3,0.0,acept,not furnished,1300.0,8500.0,1084.0,128.0,11010.0
2142,1,70,2,2,0,24.0,not acept,furnished,800.0,4000.0,50.0,51.0,4901.0
2144,1,40,1,1,1,8.0,not acept,furnished,1800.0,4800.0,350.0,61.0,7011.0
2145,1,73,2,2,1,13.0,acept,not furnished,700.0,1250.0,150.0,16.0,2116.0
2146,1,140,3,2,2,23.0,not acept,furnished,900.0,5000.0,142.0,64.0,6106.0
2148,1,26,1,1,0,11.0,acept,furnished,284.0,2350.0,54.0,18.0,2706.0
2149,1,84,2,2,2,20.0,not acept,furnished,1250.0,9600.0,217.0,122.0,11190.0
2150,1,32,1,1,1,4.0,acept,not furnished,550.0,2800.0,44.0,36.0,3430.0
2152,1,187,3,4,3,14.0,acept,not furnished,1700.0,14000.0,1209.0,178.0,17090.0
2153,1,45,1,1,1,13.0,acept,not furnished,606.0,2500.0,15.0,32.0,3153.0
